mat_size,memory,performance,info,permutation,optimization
30,21.094,3179.487,['matmult_mkn'],mkn,"['-O3', '-funroll-loops']"
75,131.836,3719.089,['matmult_mkn'],mkn,"['-O3', '-funroll-loops']"
200,937.5,4023.476,['matmult_mkn'],mkn,"['-O3', '-funroll-loops']"
1200,33750.0,4222.048,['matmult_mkn'],mkn,"['-O3', '-funroll-loops']"
30,21.094,2685.701,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto']"
75,131.836,3542.947,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto']"
200,937.5,3495.234,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto']"
1200,33750.0,3665.637,['matmult_kmn'],kmn,"['-O3', '-funroll-loops', '-flto']"
30,21.094,1460.846,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
75,131.836,1513.114,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
200,937.5,984.676,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
1200,33750.0,423.71,['matmult_knm'],knm,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math']"
30,21.094,306.93,['matmult_kmn'],kmn,[]
75,131.836,310.237,['matmult_kmn'],kmn,[]
200,937.5,314.282,['matmult_kmn'],kmn,[]
1200,33750.0,320.186,['matmult_kmn'],kmn,[]
30,21.094,1485.836,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto']"
75,131.836,1678.053,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto']"
200,937.5,1313.506,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto']"
1200,33750.0,1155.779,['matmult_mnk'],mnk,"['-O3', '-funroll-loops', '-flto']"
30,21.094,1144.988,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
75,131.836,1123.384,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
200,937.5,912.033,['matmult_nmk'],nmk,"['-O3', '-funroll-loops', '-flto', '-march=native', '-ffast-math', '-funsafe-loop-optimizations', '-funsafe-math-optimizations']"
