Iteration: 0, diff: 0.757240
Iteration: 1, diff: 0.516637
Iteration: 2, diff: 0.392033
Iteration: 3, diff: 0.318304
Iteration: 4, diff: 0.269899
Iteration: 5, diff: 0.235606
Iteration: 6, diff: 0.209937
Iteration: 7, diff: 0.189929
Iteration: 8, diff: 0.173846
Iteration: 9, diff: 0.160603
Iteration: 10, diff: 0.149486
Iteration: 11, diff: 0.140004
Iteration: 12, diff: 0.131809
Iteration: 13, diff: 0.124646
Iteration: 14, diff: 0.118326
Iteration: 15, diff: 0.112702
Iteration: 16, diff: 0.107661
Iteration: 17, diff: 0.103114
Iteration: 18, diff: 0.098988
