n,errors,iters,times,norm_diff
10,0.009390053541620702,28.0,0.1,9.046341566988682e-05
20,0.0023127299333166374,69.0,1.9,9.706284915116875e-05
30,0.001461899408481212,126.0,14.1,9.670475982447173e-05
40,0.0035267000506117876,193.0,54.9,9.826946794558197e-05
50,0.017261650428188297,201.0,118.1,0.000270378557945698
60,0.04338720690405451,201.0,236.9,0.00046569606246708856
70,0.07549570905746543,201.0,411.1,0.0005948033634266226
80,0.1082469797874522,201.0,663.9,0.0006537209876936755
90,0.13867633602538493,201.0,1025.1,0.0006627382234030815
100,0.1656310894691749,201.0,1515.9,0.0006421226015918668
